"Name","Tags","Approved"
"A_full-body_anime-style_illustration_of_an_adult_g_I4QH2H10.txt","1girl, solo, skirt, sleeveless, ahoge, sleeveless shirt, shirt, blue eyes, black skirt, white background, brown hair, pleated skirt, hair bun, simple background, long hair, bow, sailor collar, white shirt, bare arms, looking at viewer, black bow, natsuiro matsuri, white sailor collar, very long hair, w, blush, single hair bun, bare shoulders, closed mouth, virtual youtuber, hands up, cowboy shot, nail polish, dress shirt, school uniform, multicolored hair, standing, hair ornament, hair between eyes, single side bun, miniskirt, red nails, collared shirt, collarbone, hand up, blue hair, sidelocks, serafuku, parted lips, fingernails, double w, bowtie, black bowtie, small breasts, buttons, hair bow, character name, breasts, gradient hair, one side up, :o, armpits, thighs, double bun, \m/, shirt tucked in, star (symbol), pink nails, high-waist skirt, ribbon, armpit crease, aqua eyes, star hair ornament, two-tone hair, hand gesture, head tilt, yellow bow, fox shadow puppet, colored inner hair, alternate hairstyle, sailor shirt, two side up, black sailor collar, transparent background, hairclip, hair ribbon, black hair, flat chest, double fox shadow puppet, v, side ponytail, aqua hair, arm up, short sleeves, brown bow, text background, eyebrows hidden by hair, grey hair, cropped legs, legs together","1"
"A_full-body_anime-style_illustration_of_an_adult_g_I4QH2H11.txt","1girl, long hair, solo, full body, skirt, blue eyes, very long hair, absurdly long hair, blue hair, white background, jacket, simple background, looking at viewer, shoes, ahoge, pleated skirt, long sleeves, socks, school uniform, smile, mary janes, open clothes, brown skirt, closed mouth, blue jacket, sailor collar, bow, black footwear, yellow bow, open jacket, hair ornament, letterman jacket, white shirt, shirt, white socks, bowtie, yellow bowtie, black skirt, high-waist skirt, hairclip, dark blue hair, tachi-e, multicolored jacket, standing, hand up, arm up, character name, serafuku, braid, blush, grey socks, puffy long sleeves, multicolored clothes, miniskirt, two-tone jacket, buttons, dated, collarbone, shirt tucked in, copyright notice, black sailor collar, ribbed legwear, bare legs, puffy sleeves, raglan sleeves, yellow ribbon, copyright name, ribbon, character profile, ribbed socks, bobby socks, platform footwear, aqua eyes, star (symbol), artist name, grey hair, sidelocks, twitter username, black jacket, neck ribbon, official alternate costume, arm at side, ankle socks, light smile, sleeve cuffs, floating hair, company name, pigeon-toed, hair between eyes, black hair, twintails, small breasts, mismatched sleeves, sleeves past wrists, breasts, gradient hair, light blush, leaning to the side, star hair ornament, multicolored hair","1"
"A_full-body_anime-style_illustration_of_an_adult_g_I4QH2H12.txt","1girl, solo, long hair, skirt, transparent background, black hair, ribbon, pleated skirt, two side up, smile, ahoge, hand on own hip, looking at viewer, hair ribbon, long sleeves, bow, bowtie, vest, red ribbon, blush, v, school uniform, standing, short sleeves, closed mouth, green bow, green bowtie, shirt, w, simple background, hand up, white background, brown eyes, cowboy shot, tachi-e, brown vest, white shirt, thighs, small breasts, yellow eyes, puffy sleeves, brown skirt, short over long sleeves, index finger raised, multicolored eyes, miniskirt, breasts, collared shirt, buttons, layered sleeves, very long hair, purple eyes, aqua bowtie, aqua bow, red eyes, orange eyes, black sleeves, dress shirt, neck ribbon, wing collar, hair ornament, arm warmers, puffy short sleeves, gradient eyes, brown hair, sidelocks, yellow skirt, undershirt, pink vest, uniform, head tilt, twintails, orange vest, contrapposto, feet out of frame, cardigan vest, pointing up, detached sleeves, white skirt, brown shirt, juliet sleeves, green ribbon, medium breasts, cropped legs, hair bow, pink eyes, yellow vest, blue eyes, finger gun, light smile, red bow, virtual youtuber, dress, split mouth, legs apart, arm up, aqua ribbon, light blush, jacket, grey hair","1"
"A_full-body_anime-style_illustration_of_an_adult_g_I4QH2H13.txt","1girl, solo, bow, blue bow, bowtie, transparent background, looking at viewer, blue eyes, long sleeves, blue bowtie, brown hair, shoes, standing on one leg, skirt, smile, pointing up, blush, two side up, short hair, standing, closed mouth, white skirt, leg up, pleated dress, index fingers raised, index finger raised, dress, simple background, pleated skirt, shirt, school uniform, white footwear, ribbon, mary janes, pink footwear, white shirt, \m/, hair bow, double fox shadow puppet, hair ornament, white dress, belt, buttons, sailor collar, aqua eyes, pointing, foot out of frame, hands up, arms up, fox shadow puppet, high-waist skirt, white belt, bare legs, white background, shirt tucked in, medium hair, nail polish, sleeve cuffs, black hair, pink nails, red nails, white serafuku, virtual youtuber, red bow, sailor dress, arm up, fingernails, white sailor collar, tachi-e, light blush, grey shirt, feet out of frame, :3, collared shirt, no socks, serafuku, miniskirt, blue ribbon, hair ribbon, red ribbon, short dress, light smile, small breasts, uwabaki, breasts, collared dress, twintails, heart hair ornament, pinky out, neck ribbon, grey footwear, \n/, dancing, cowboy shot, foot up, purple footwear, jewelry, heart, dot nose, leg lift","1"
"A_full-body_anime-style_illustration_of_an_adult_g_I4QLWY90.txt","1girl, jacket, skirt, brown hair, solo, blue eyes, thighhighs, blue jacket, pleated skirt, red skirt, black thighhighs, sailor collar, long hair, ahoge, open jacket, shirt, transparent background, red ribbon, long sleeves, open clothes, open mouth, white shirt, school uniform, ribbon, hair ornament, blush, looking at viewer, two side up, index finger raised, white sailor collar, nail polish, serafuku, virtual youtuber, neck ribbon, simple background, collarbone, white background, hair bun, hand up, very long hair, hairclip, cowboy shot, double bun, :o, pink nails, miniskirt, hair ribbon, fingernails, arm up, red nails, bow, standing, sidelocks, zettai ryouiki, breasts, denim jacket, small breasts, hair bow, pointing up, pointing, red bow, running, red sailor collar, neckerchief, leaning forward, puffy sleeves, teeth, denim, badge, puffy long sleeves, multicolored hair, sailor shirt, buttons, collared jacket, collared shirt, cat hair ornament, star (symbol), print jacket, floating hair, blazer, hair rings, contrapposto, sleeve cuffs, star hair ornament, medium breasts, bomber jacket, hair between eyes, striped ribbon, fang, skindentation, unzipped, red neckerchief, striped bow, parted lips, tachi-e, :d, cropped legs, smile, patch, eyebrows hidden by hair","1"
"A_full-body_anime-style_illustration_of_an_adult_g_I4QLWY91.txt","1girl, solo, black hair, text background, puffy long sleeves, long sleeves, green shirt, blue eyes, puffy sleeves, sleeves past wrists, looking at viewer, shirt, two side up, upper body, blush, closed mouth, hair ornament, red scarf, white background, multicolored hair, scarf, w, drawstring, arm up, blue hair, hood, simple background, hood down, two-tone hair, short hair, outstretched arm, hand up, black ribbon, virtual youtuber, two-tone background, neck ribbon, hair flower, ribbon, v, double w, outline, colored inner hair, hands up, sweater, bow, hoodie, foreshortening, index finger raised, eyebrows hidden by hair, parted bangs, head tilt, white shirt, black bow, chinese zodiac, green sweater, flower, white outline, asymmetrical bangs, breasts, pinching sleeves, small breasts, hair between eyes, artist self-insert, dot mouth, pointing, leaf hair ornament, swept bangs, cropped torso, character name, twintails, hair rings, finger gun, sleeves past fingers, fingernails, new year, jacket, green hoodie, aqua eyes, brown flower, :o, sidelocks, hair bell, borrowed character, hair bow, parted lips, green eyes, forehead, puffy short sleeves, grey shirt, hair ribbon, hairclip, short twintails, tassel, juliet sleeves, food-themed hair ornament, grey background, medium breasts, orange scarf, hair bun, dress","1"
"A_full-body_anime-style_illustration_of_an_adult_g_I4QLWY92.txt","1girl, animal ears, skirt, solo, green skirt, brown hair, full body, long hair, shoes, white background, shirt, smile, blue eyes, simple background, animal ear fluff, looking at viewer, sneakers, tachi-e, red bow, green sailor collar, long sleeves, virtual youtuber, white footwear, white shirt, bell, school uniform, red bowtie, frilled skirt, bow, cat ears, pointing at self, hair ornament, standing, pleated skirt, closed mouth, bowtie, finger to cheek, very long hair, outstretched arm, frills, braid, platform footwear, pointing, sailor collar, backpack, jingle bell, bag, hair bell, shirt tucked in, multicolored hair, hair between eyes, blush, finger to face, green collar, collared shirt, miniskirt, cat girl, serafuku, sidelocks, cheek poking, neck ribbon, open hand, red hair, bare legs, ribbon, socks, buttons, extra ears, red ribbon, aqua eyes, red nails, white socks, reaching towards viewer, tail, transparent background, reaching, outstretched hand, hand up, head tilt, akanbe, two-tone footwear, petticoat, copyright notice, high tops, french braid, layered skirt, high-waist skirt, footwear bow, breasts, aqua skirt, floating hair, gradient hair, fingernails, double-parted bangs, poking, grey footwear, pink nails, nail polish, sailor shirt, blue skirt","1"
"A_full-body_anime-style_illustration_of_an_adult_g_I4QLWY93.txt","1girl, skirt, animal ears, v, multiple views, belt, grey shirt, multicolored hair, grey skirt, vest, smile, black vest, shirt, looking at viewer, pleated skirt, black footwear, simple background, white background, ahoge, long hair, cat ears, bracelet, black belt, collar, open clothes, colored inner hair, closed mouth, hair ornament, jacket, full body, standing, ponytail, brown hair, pink eyes, wristwatch, toeless footwear, hands up, jewelry, purple eyes, grey vest, socks, boots, gradient hair, collarbone, short sleeves, black hair, green hair, grey socks, turnaround, open vest, blush, miniskirt, buckle, reference sheet, long sleeves, hand up, animal ear fluff, two-tone hair, watch, belt buckle, hand on own face, flower, breasts, hand on own cheek, choker, bright pupils, open jacket, sailor collar, hair flower, aqua hair, double v, ankle boots, shoes, high heels, buttons, black collar, medium hair, white pupils, sleeveless jacket, black choker, transparent background, wristband, virtual youtuber, cat girl, multicolored eyes, white shirt, from behind, black jacket, pocket, cowboy shot, :3, grey serafuku, pink flower, legs apart, belt collar, grey jacket, orange hair, small breasts, white sailor collar, neck bell","1"
"A_full-body_anime-style_illustration_of_an_adult_g_I4QQDK10.txt","1girl, solo, twintails, jewelry, earrings, long hair, bow, green necktie, hair bow, necktie, dress, cropped jacket, white bow, brown hair, multicolored hair, transparent background, blush, long sleeves, outstretched arm, looking at viewer, short necktie, pleated dress, thigh gap, simple background, crossed legs, white background, jacket, breasts, black dress, thighs, multicolored eyes, closed mouth, green eyes, hair ornament, short dress, standing, heart, swept bangs, white jacket, scrunchie, open clothes, breast pocket, collared dress, medium breasts, brown dress, heart earrings, open jacket, watson cross, school uniform, very long hair, pocket, feet out of frame, blue eyes, virtual youtuber, aqua eyes, hair scrunchie, skirt, gradient eyes, collared shirt, puffy long sleeves, green bow, buttons, green neckerchief, cropped legs, two-tone hair, cowboy shot, gradient hair, shirt, expressionless, parted bangs, black hair, wing collar, ribbon, green scrunchie, puffy sleeves, bare legs, wide hips, neckerchief, orange hair, triangle earrings, aqua necktie, thick thighs, pleated skirt, open hand, shiny skin, aqua bow, legs together, fingernails, high-waist skirt, tachi-e, floating hair, sidelocks, large breasts, hair ribbon, light frown, streaked hair, dot nose, :/, diamond (shape), white shirt","1"
"A_full-body_anime-style_illustration_of_an_adult_g_I4QQDK11.txt","1girl, solo, hair bun, ahoge, double bun, smile, :d, w, brown hair, long hair, blush, multicolored hair, looking at viewer, gradient hair, long sleeves, transparent background, virtual youtuber, white skirt, medium breasts, white background, blue eyes, blue hair, simple background, shorts, jacket, breasts, outstretched arm, white jacket, hair ornament, hairclip, dress, short shorts, white shorts, very long hair, shirt, white dress, teeth, collarbone, upper teeth only, open mouth, skirt, pleated skirt, pleated dress, single sleeve, two side up, standing, ribbon trim, v, shoulder cutout, cowboy shot, small breasts, white shirt, aqua eyes, black hair, two-tone hair, bow, asymmetrical sleeves, nail polish, off shoulder, foreshortening, hair bow, puffy long sleeves, bare shoulders, puffy sleeves, ribbon-trimmed dress, shorts under dress, clothing cutout, reaching towards viewer, pink shirt, green eyes, round teeth, red nails, sidelocks, hair intakes, collared dress, ribbon-trimmed sleeves, gradient dress, reaching, hand up, uneven sleeves, tachi-e, contrapposto, collared shirt, dress shirt, white sleeves, fingernails, detached sleeves, black bow, off-shoulder jacket, ribbon, brown bow, outstretched hand, single bare shoulder, aqua hair, pink nails, hair ribbon, buttons, brown jacket, streaked hair, single hair bun","1"
